Space (asteroids, no random);//name-------------------------------------------
  start_of_day_sounds;
  siren1.wav;
  siren2.wav;
  computer2.wav;
  wrench.wav;
  machinery.wav;
  machinery2.wav;
  machinery3.wav;
  machinery4.wav;
  machinery5.wav;
  machinery6.wav;
  machinery7.wav;
  intro.wav;
  end_of_day_sounds;
  start_of_props;
   79;//object definition number		tree1
    40;//number of these on a 100*100 map
  81;//object definition number		tree3
    40;//number of these on a 100*100 map
  99;//object definition number		tree
 40;//number of these on a 100*100 map
 163;//object definition number		tree
    40;//number of these on a 100*100 map
 164;//object definition number		tree
 80;//number of these on a 100*100 map
  end_of_props;
Meadow;//name-----------------------------------------------------------
 14;//identifier
  0;//can be a random map
  200;//light oscillate time
  0.000000;//light r phase shift
  -0.100000;//light g phase shift
  -0.100000;//light b phase shift
  0.900000;//light r amplitude
  1.000000;//light g amplitude
  1.000000;//light b amplitude
  0.900000;//light max r
  0.800000;//light max g
  0.800000;//light max b
  0.000000;//light min r
  0.000000;//light min g
  0.200000;//light min b
  0.20000;//night temperature
  0.300000;//day temperature
  1.00000;//maximum wind speed
  -1;//rain particle, -1=no rain
  400;//rain_particle_life_min
  800;//rain_particle_life_max
  15000;//rain_probability (the bigger the number, the more unlikely the rain)
  5000;//rain_time_min
  15000;//rain_time_max
  begin_effects_block;//    
 Warm, soothing rain.;//event text
    100;//interval
    begin_conditions;
    end_conditions;
    begin_effects;
    23;//effect number
      0.200000;//parameter1
      -1.000000;//parameter2
      6.000000;//parameter3
      100.000000;//parameter4
    end_effects;
  end_effects_block;
  start_of_terrains;//  
 65;
66;
67;
59;
60;
48;
  end_of_terrains;
  start_of_night_sounds;
junglebird1.wav;
 wind0.wav;
  wind1.wav;
  wind2.wav;
jungle.wav;
junglebird3.wav;
  m16distant.wav;
  luger.wav;
  44.wav;
wildcat.wav;
  end_of_night_sounds;
  start_of_day_sounds;
junglebird.wav;
junglebird2.wav;
junglebird3.wav;
  m16distant.wav;
  luger.wav;
  44.wav;
jungle.wav;
forest.wav;
  end_of_day_sounds;
  start_of_props;
 163;//object definition number		tree
    600;//number of these on a 100*100 map
79;//object definition number		tree
    200;//number of these on a 100*100 map
81;//object definition number		tree
   200;//number of these on a 100*100 map
 186;//object definition number		tree
    60;//number of these on a 100*100 map
185;//object definition number		tree
    60;//number of these on a 100*100 map
  84;//object definition number		scel
    100;//number of these on a 100*100 map
  85;//object definition number		skel
    100;//number of these on a 100*100 map
  180;//object definition number		wood
    30;//number of these on a 100*100 map
104;//object definition number		kivi
   30;//number of these on a 100*100 map
  105;//object definition number	kivi
  30;//number of these on a 100*100 map
 106;//object definition number		kivi
  30;//number of these on a 100*100 map
 145;//object definition number		rubble
   60;//number of these on a 100*100 map
 146;//object definition number		rubble
  60;//number of these on a 100*100 map
147;//object definition number		rubble
   60;//number of these on a 100*100 map
120;//object definition number		ruin ship
 4;//number of these on a 100*100 map
 121;//object definition number		ruin ship
   4;//number of these on a 100*100 map
 122;//object definition number		ruin ship
    4;//number of these on a 100*100 map
 123;//object definition number		ruin ship
    4;//number of these on a 100*100 map
 124;//object definition number		ruin ship
   4;//number of these on a 100*100 map
  end_of_props;
Space (wrecks);//name------------------------------------------------------------------
  15;//identifier
  0;//can be a random map
  200;//light oscillate time
  0.000000;//light r phase shift
  0.000000;//light g phase shift
  0.000000;//light b phase shift
 1.000000;//light r amplitude
  0.500000;//light g amplitude
  0.500000;//light b amplitude
  0.900000;//light max r
  0.300000;//light max g
  0.300000;//light max b
    0.900000;//light max r
  0.300000;//light max g
  0.300000;//light max b
  0.000000;//night temperature
  0.000000;//day temperature
  1.000000;//maximum wind speed
  -1;//rain particle, -1=no rain
  300;//rain_particle_life_min
  800;//rain_particle_life_max
  15000;//rain_probability (the bigger the number, the more unlikely the rain)
  5000;//rain_time_min
  15000;//rain_time_max
  begin_effects_block;//    
  end_effects_block;
  start_of_terrains;//  
  2;
  end_of_terrains;
  start_of_night_sounds;
  end_of_night_sounds;
  start_of_day_sounds;
  end_of_day_sounds;
  start_of_props;
  41;//object definition number		
    15;//number of these on a 100*100 map
42;//object definition number		
    15;//number of these on a 100*100 map
  43;//object definition number		
    25;//number of these on a 100*100 map
 44;//object definition number		
    15;//number of these on a 100*100 map
  56;//object definition number		
    10;//number of these on a 100*100 map
  57;//object definition number		
    30;//number of these on a 100*100 map
  58;//object definition number		
    30;//number of these on a 100*100 map
  59;//object definition number		
    20;//number of these on a 100*100 map
  60;//object definition number		
    20;//number of these on a 100*100 map
  61;//object definition number		
    20;//number of these on a 100*100 map
  62;//object definition number		
    20;//number of these on a 100*100 map
  63;//object definition number		
    20;//number of these on a 100*100 map
  64;//object definition number		
    30;//number of these on a 100*100 map
195;//object definition number		
    20;//number of these on a 100*100 map
196;//object definition number		
    20;//number of these on a 100*100 map
197;//object definition number		
    20;//number of these on a 100*100 map
198;//object definition number		
   20;//number of these on a 100*100 map
145;//object definition number		rubble
   60;//number of these on a 100*100 map
 146;//object definition number		rubble
  60;//number of these on a 100*100 map
147;//object definition number		rubble
   60;//number of these on a 100*100 map
  end_of_props;
end_of_file;
